Difficulty,Question,Answer,,,,
Easy,____ controls the structure of a page.,HTML,,,,
Easy,____ controls the style of a page (how it looks).,CSS,,,,
Easy,An ____ should be used to uniquely identify an element in HTML.,ID,,,,
Easy,A ____ is a group of elements that can be styled together.,Class,,,,
Easy,Indentation makes up ____% of style.,80,,,,
Medium,When programmers talk about the ___ (an acronym) they mean the tree-like structure of the page.,DOM,,,,
Medium,A ____ is used in CSS to tell the browser to apply rules to a certain type of element.,selector,,,,
Medium,Beginner programmers make comments on ____ they’re doing.,what,,,,
Medium,More experienced programmers make comments on ____ they’re doing things.,how,,,,
Medium,Expert programmers make comments on ____ they’re doing what they’re doing.,why,,,,
Hard,The 0th Step in Pythonista’s Guide to All Problems in the Galaxy is: don’t ____!,panic,,,,
Hard,The 1st Step in Pythonista’s Guide to All Problems in the Galaxy is to ask: What are the ____?,inputs,,,,
Hard,The 2nd Step in Pythonista’s Guide to All Problems in the Galaxy is to ask: What are the ____?,outputs,,,,
Hard,The 3rd Step in Pythonista’s Guide to All Problems in the Galaxy is to work through some examples by ____.,hand,,,,
Hard,The 4th Step in Pythonista’s Guide to All Problems in the Galaxy is to look for a ____ mechanical solution.,simple,,,,
Hard,The 5th Step in Pythonista’s Guide to All Problems in the Galaxy is to develop ____ and test as we go.,incrementally,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,